Video_Title,Video_Description,Upload_Date,Duration_Minutes,View_Count,Like_Count,Comment_Count,Channel_Subscriber_Count,Actual_Quality_Score,Like_To_View Ratio,Comment_to_View Ratio,Engagement_Rate
LEARN MACHINE LEARNING IN 10 MINUTES!!!,Master artificial intelligence fast and get a huge salary today,12-04-2021,10,850000,2100,45,350000,15,0.002470588,5.29E-05,0.252352941
Make $10k a month with Python Fast!,The ultimate secret python script to print money guaranteed,05-08-2022,8,1200000,4000,120,500000,12,0.003333333,0.0001,0.343333333
STOP Coding like this!!!,You are doing it all wrong watch this before you get fired,20-01-2023,12,950000,3200,85,420000,22,0.003368421,8.95E-05,0.345789474
Become a Senior Developer in 1 WEEK!!!,Skip the junior phase and become a senior engineer instantly,15-11-2020,14,780000,2500,60,310000,18,0.003205128,7.69E-05,0.328205128
The ONLY framework you need in 2024!!!,Forget everything else this new tool will replace all developers,01-12-2023,9,1500000,5000,200,800000,25,0.003333333,0.000133333,0.346666667
ChatGPT will STEAL your job in 5 days!!!,Watch this to survive the AI apocalypse right now,10-02-2024,11,2100000,6500,400,950000,10,0.003095238,0.000190476,0.328571429
Build a full app in 3 MINUTES!!!,Fastest way to build a mobile app zero coding required,22-07-2021,5,640000,1800,50,220000,14,0.0028125,0.000078125,0.2890625
LEARN REACT FAST AND MAKE $100K!!!,The react crash course that guarantees a six figure job,14-03-2022,15,890000,2900,110,410000,20,0.003258427,0.000123596,0.338202247
HTML is DEAD!!! Use this instead!!!,Why you should never use html again and what to do,30-05-2023,8,1100000,3800,150,560000,16,0.003454545,0.000136364,0.359090909
Javascript Secrets they hide from you!!!,Uncovering the dark web javascript tricks for massive success,09-09-2021,13,720000,2200,75,290000,19,0.003055556,0.000104167,0.315972222
LEARN GAME DEV IN 1 HOUR!!!,Create the next blockbuster game without any math or logic,11-10-2022,11,940000,3100,90,480000,24,0.003297872,9.57E-05,0.339361702
Make a Roblox clone in 5 MINUTES!!!,Easiest way to copy popular games and get rich quick,05-04-2023,7,1050000,3500,130,520000,17,0.003333333,0.00012381,0.345714286
UI Design is useless now!!!,AI tools that make figma totally obsolete watch now,18-01-2024,9,860000,2700,80,390000,21,0.003139535,9.30E-05,0.323255814
Learn Python overnight!!!,Sleep while listening to this and wake up a python master,25-06-2020,12,670000,1900,40,260000,11,0.002835821,5.97E-05,0.289552239
HACK any website with HTML!!!,Super secret hacking techniques using basic html tags,12-12-2021,6,1400000,4200,180,710000,13,0.003,0.000128571,0.312857143
Earn passive income with APIs!!!,Just plug this in and watch the money roll in forever,20-05-2022,10,910000,3000,95,430000,28,0.003296703,0.000104396,0.34010989
The BIGGEST mistake beginners make!!!,You will fail if you do not watch this entire video,14-08-2023,14,1150000,3900,140,580000,23,0.003391304,0.000121739,0.351304348
NEVER learn C++!!!,Why C++ is a waste of time and what to learn instead,08-03-2020,15,820000,2600,85,340000,26,0.003170732,0.000103659,0.327439024
Learn AWS in 2 MINUTES!!!,Master cloud computing faster than boiling water,02-11-2021,4,980000,3300,100,460000,15,0.003367347,0.000102041,0.346938776
This CSS trick makes you a MILLIONAIRE!!!,The flexbox layout that investors absolutely love,19-07-2022,8,750000,2300,65,320000,19,0.003066667,8.67E-05,0.315333333
Master Python dictionaries in 60 SECONDS!!!,The fastest dictionary tutorial ever made online,28-02-2023,3,610000,1500,30,210000,29,0.002459016,4.92E-05,0.250819672
